CandidateVectorId,EquivalenceClassId,RepresentativeVectorId,Retained,EquivalenceSignatureSha256,EquivalenceSignature,MessageAlias,Scenario,StateBefore,VectorType,Perturbation,ConfigHash,RequirementId,CoverageObligations,InputSeed,ReductionReason,DataOrigin
V0001,EC-001,V0001,true,4b27e0dc437955da4c109310a9560dcc1d93f1c4530d830cb36af9155de63044,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY"",""message_alias"":""PDU-A"",""perturbation"":""NONE"",""requirement_id"":""REQ-VALID-DELIVERY"",""scenario"":""合法基准通信"",""state_before"":""SYNC"",""vector_type"":""VALID""}",PDU-A,合法基准通信,SYNC,VALID,NONE,47c95dd4fc3ad73a,REQ-VALID-DELIVERY,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY,20260912,lowest VectorId retained as deterministic representative,derived_from_disclosed_candidate_vectors
V0002,EC-001,V0001,false,4b27e0dc437955da4c109310a9560dcc1d93f1c4530d830cb36af9155de63044,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY"",""message_alias"":""PDU-A"",""perturbation"":""NONE"",""requirement_id"":""REQ-VALID-DELIVERY"",""scenario"":""合法基准通信"",""state_before"":""SYNC"",""vector_type"":""VALID""}",PDU-A,合法基准通信,SYNC,VALID,NONE,47c95dd4fc3ad73a,REQ-VALID-DELIVERY,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY,20260913,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0003,EC-001,V0001,false,4b27e0dc437955da4c109310a9560dcc1d93f1c4530d830cb36af9155de63044,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY"",""message_alias"":""PDU-A"",""perturbation"":""NONE"",""requirement_id"":""REQ-VALID-DELIVERY"",""scenario"":""合法基准通信"",""state_before"":""SYNC"",""vector_type"":""VALID""}",PDU-A,合法基准通信,SYNC,VALID,NONE,47c95dd4fc3ad73a,REQ-VALID-DELIVERY,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY,20260914,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0004,EC-001,V0001,false,4b27e0dc437955da4c109310a9560dcc1d93f1c4530d830cb36af9155de63044,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY"",""message_alias"":""PDU-A"",""perturbation"":""NONE"",""requirement_id"":""REQ-VALID-DELIVERY"",""scenario"":""合法基准通信"",""state_before"":""SYNC"",""vector_type"":""VALID""}",PDU-A,合法基准通信,SYNC,VALID,NONE,47c95dd4fc3ad73a,REQ-VALID-DELIVERY,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY,20260915,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0005,EC-001,V0001,false,4b27e0dc437955da4c109310a9560dcc1d93f1c4530d830cb36af9155de63044,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY"",""message_alias"":""PDU-A"",""perturbation"":""NONE"",""requirement_id"":""REQ-VALID-DELIVERY"",""scenario"":""合法基准通信"",""state_before"":""SYNC"",""vector_type"":""VALID""}",PDU-A,合法基准通信,SYNC,VALID,NONE,47c95dd4fc3ad73a,REQ-VALID-DELIVERY,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY,20260916,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0006,EC-002,V0006,true,cc929717d09a99f0be3fc8bad7f1d722946211c67cf8346184c7c8cc3dc32258,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY"",""message_alias"":""PDU-A"",""perturbation"":""XOR_0x01_AT_AUTH_AREA_OFFSET"",""requirement_id"":""REQ-AUTH-AREA-INTEGRITY"",""scenario"":""受认证区域内载荷篡改"",""state_before"":""SYNC"",""vector_type"":""TAMPER""}",PDU-A,受认证区域内载荷篡改,SYNC,TAMPER,XOR_0x01_AT_AUTH_AREA_OFFSET,47c95dd4fc3ad73a,REQ-AUTH-AREA-INTEGRITY,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY,20261012,lowest VectorId retained as deterministic representative,derived_from_disclosed_candidate_vectors
V0007,EC-002,V0006,false,cc929717d09a99f0be3fc8bad7f1d722946211c67cf8346184c7c8cc3dc32258,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY"",""message_alias"":""PDU-A"",""perturbation"":""XOR_0x01_AT_AUTH_AREA_OFFSET"",""requirement_id"":""REQ-AUTH-AREA-INTEGRITY"",""scenario"":""受认证区域内载荷篡改"",""state_before"":""SYNC"",""vector_type"":""TAMPER""}",PDU-A,受认证区域内载荷篡改,SYNC,TAMPER,XOR_0x01_AT_AUTH_AREA_OFFSET,47c95dd4fc3ad73a,REQ-AUTH-AREA-INTEGRITY,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY,20261013,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0008,EC-002,V0006,false,cc929717d09a99f0be3fc8bad7f1d722946211c67cf8346184c7c8cc3dc32258,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY"",""message_alias"":""PDU-A"",""perturbation"":""XOR_0x01_AT_AUTH_AREA_OFFSET"",""requirement_id"":""REQ-AUTH-AREA-INTEGRITY"",""scenario"":""受认证区域内载荷篡改"",""state_before"":""SYNC"",""vector_type"":""TAMPER""}",PDU-A,受认证区域内载荷篡改,SYNC,TAMPER,XOR_0x01_AT_AUTH_AREA_OFFSET,47c95dd4fc3ad73a,REQ-AUTH-AREA-INTEGRITY,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY,20261014,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0009,EC-002,V0006,false,cc929717d09a99f0be3fc8bad7f1d722946211c67cf8346184c7c8cc3dc32258,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY"",""message_alias"":""PDU-A"",""perturbation"":""XOR_0x01_AT_AUTH_AREA_OFFSET"",""requirement_id"":""REQ-AUTH-AREA-INTEGRITY"",""scenario"":""受认证区域内载荷篡改"",""state_before"":""SYNC"",""vector_type"":""TAMPER""}",PDU-A,受认证区域内载荷篡改,SYNC,TAMPER,XOR_0x01_AT_AUTH_AREA_OFFSET,47c95dd4fc3ad73a,REQ-AUTH-AREA-INTEGRITY,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY,20261015,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
V0010,EC-002,V0006,false,cc929717d09a99f0be3fc8bad7f1d722946211c67cf8346184c7c8cc3dc32258,"{""config_hash"":""47c95dd4fc3ad73a"",""coverage_obligations"":""MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY"",""message_alias"":""PDU-A"",""perturbation"":""XOR_0x01_AT_AUTH_AREA_OFFSET"",""requirement_id"":""REQ-AUTH-AREA-INTEGRITY"",""scenario"":""受认证区域内载荷篡改"",""state_before"":""SYNC"",""vector_type"":""TAMPER""}",PDU-A,受认证区域内载荷篡改,SYNC,TAMPER,XOR_0x01_AT_AUTH_AREA_OFFSET,47c95dd4fc3ad73a,REQ-AUTH-AREA-INTEGRITY,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY,20261016,same observable semantic signature as representative,derived_from_disclosed_candidate_vectors
