VectorId,EquivalenceClassId,Scenario,MessageAlias,InputSeed,ConfigHash,StateBefore,FvLastBefore,VectorType,Perturbation,Setup,PayloadHex,WirePduHex,ExpectedAuth,ExpectedFreshness,ExpectedDelivery,ExpectedResync,ExpectedStateUpdate,ExpectedError,ExpectedVerdict,RequirementId,CoverageObligations,DataOrigin
V0001,EC-001,合法基准通信,PDU-A,20260912,47c95dd4fc3ad73a,SYNC,100,VALID,NONE,prepare_sync(fv_last=100),76f5e80f7ac9f9ae82756d6e9d6bfe36,76f5e80f7ac9f9ae82756d6e9d6bfe360065f429d2686bf5bf04,PASS,PASS,1,NONE,UPDATED_AUTH,,PASS,REQ-VALID-DELIVERY,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY,deterministic_direct_python_execution
V0006,EC-002,受认证区域内载荷篡改,PDU-A,20261012,47c95dd4fc3ad73a,SYNC,100,TAMPER,XOR_0x01_AT_AUTH_AREA_OFFSET,prepare_sync(fv_last=100),96f0186815cd0502b00a00ca8d8ee90c,97f0186815cd0502b00a00ca8d8ee90c0065507488f9a3add0e1,FAIL,PASS,0,NONE,UNCHANGED,,PASS,REQ-AUTH-AREA-INTEGRITY,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY,deterministic_direct_python_execution
V0011,EC-003,全零认证器伪造,PDU-A,20261112,47c95dd4fc3ad73a,SYNC,100,TAMPER,REPLACE_TRUNCATED_MAC_WITH_ZERO,prepare_sync(fv_last=100),2db1f035e13923ca88275a817b1a9934,2db1f035e13923ca88275a817b1a993400650000000000000000,FAIL,PASS,0,NONE,UNCHANGED,,PASS,REQ-MAC-FORGERY-REJECTION,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION,deterministic_direct_python_execution
V0016,EC-004,已接收报文重放,PDU-A,20261212,47c95dd4fc3ad73a,SYNC,101,REPLAY,REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU,prepare_sync(fv_last=100); accept witness once; replay same PDU,371826456fa3eff9f0cadf4db759dd48,371826456fa3eff9f0cadf4db759dd480065442a0be1eb68d957,PASS,FAIL,0,NONE,UNCHANGED,,PASS,REQ-FRESHNESS-REPLAY-REJECTION,MESSAGE:PDU-A|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION,deterministic_direct_python_execution
V0021,EC-005,严格策略下FV回绕候选,PDU-A,20261312,47c95dd4fc3ad73a,ROLLOVER_PENDING,4294967293,BOUNDARY_OUT,AUTHENTICATED_POST_ROLLOVER_LOW_FV_5,prepare_rollover_pending(fv_last=2^b-3),75e7485213643bc7ca0211539312bf93,75e7485213643bc7ca0211539312bf930005a86d3f4be18b729d,PASS,PASS,0,AUTHENTICATED,UPDATED_AUTH,,PASS,REQ-ROLLOVER-GATING,MESSAGE:PDU-A|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING,deterministic_direct_python_execution
V0026,EC-006,合法基准通信,PDU-B,20270912,9eed31c538ea306b,SYNC,100,VALID,NONE,prepare_sync(fv_last=100),2ef2667b5780e85f59610dd977677621,2ef2667b5780e85f59610dd9776776210065c31aba924ded20b7,PASS,PASS,1,NONE,UPDATED_AUTH,,PASS,REQ-VALID-DELIVERY,MESSAGE:PDU-B|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY,deterministic_direct_python_execution
V0031,EC-007,受认证区域内载荷篡改,PDU-B,20271012,9eed31c538ea306b,SYNC,100,TAMPER,XOR_0x01_AT_AUTH_AREA_OFFSET,prepare_sync(fv_last=100),c117faf735d2ccc850cdf0e65dfd9c33,c017faf735d2ccc850cdf0e65dfd9c3300652dd837b7d3a19b5b,FAIL,PASS,0,NONE,UNCHANGED,,PASS,REQ-AUTH-AREA-INTEGRITY,MESSAGE:PDU-B|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY,deterministic_direct_python_execution
V0036,EC-008,全零认证器伪造,PDU-B,20271112,9eed31c538ea306b,SYNC,100,TAMPER,REPLACE_TRUNCATED_MAC_WITH_ZERO,prepare_sync(fv_last=100),1f39b7874b76098b961d2e16c5d33b54,1f39b7874b76098b961d2e16c5d33b5400650000000000000000,FAIL,PASS,0,NONE,UNCHANGED,,PASS,REQ-MAC-FORGERY-REJECTION,MESSAGE:PDU-B|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION,deterministic_direct_python_execution
V0041,EC-009,已接收报文重放,PDU-B,20271212,9eed31c538ea306b,SYNC,101,REPLAY,REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU,prepare_sync(fv_last=100); accept witness once; replay same PDU,e8b5f7e6f8858ad7da88d73e95f067c8,e8b5f7e6f8858ad7da88d73e95f067c80065c87c9906fdb3442c,PASS,FAIL,0,NONE,UNCHANGED,,PASS,REQ-FRESHNESS-REPLAY-REJECTION,MESSAGE:PDU-B|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION,deterministic_direct_python_execution
V0046,EC-010,严格策略下FV回绕候选,PDU-B,20271312,9eed31c538ea306b,ROLLOVER_PENDING,4294967293,BOUNDARY_OUT,AUTHENTICATED_POST_ROLLOVER_LOW_FV_5,prepare_rollover_pending(fv_last=2^b-3),9fbcab387ec122e6fab3e9429a240d4d,9fbcab387ec122e6fab3e9429a240d4d0005ea183ddd3d36fa41,PASS,PASS,0,AUTHENTICATED,UPDATED_AUTH,,PASS,REQ-ROLLOVER-GATING,MESSAGE:PDU-B|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING,deterministic_direct_python_execution
V0051,EC-011,合法基准通信,PDU-C,20280912,c1d55f69700cfe26,SYNC,100,VALID,NONE,prepare_sync(fv_last=100),4fe94f79bdeaf92af3b9a66771415bae,4fe94f79bdeaf92af3b9a66771415bae006563de0f939b88a80e,PASS,PASS,1,NONE,UPDATED_AUTH,,PASS,REQ-VALID-DELIVERY,MESSAGE:PDU-C|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY,deterministic_direct_python_execution
V0056,EC-012,受认证区域内载荷篡改,PDU-C,20281012,c1d55f69700cfe26,SYNC,100,TAMPER,XOR_0x01_AT_AUTH_AREA_OFFSET,prepare_sync(fv_last=100),96f500b024179136d2da30df12ca62d8,97f500b024179136d2da30df12ca62d80065545339894464036b,FAIL,PASS,0,NONE,UNCHANGED,,PASS,REQ-AUTH-AREA-INTEGRITY,MESSAGE:PDU-C|STATE:SYNC|PERTURBATION:XOR_0x01_AT_AUTH_AREA_OFFSET|REQUIREMENT:REQ-AUTH-AREA-INTEGRITY,deterministic_direct_python_execution
V0061,EC-013,全零认证器伪造,PDU-C,20281112,c1d55f69700cfe26,SYNC,100,TAMPER,REPLACE_TRUNCATED_MAC_WITH_ZERO,prepare_sync(fv_last=100),fb650b014218bc57f43f22ac235d5019,fb650b014218bc57f43f22ac235d501900650000000000000000,FAIL,PASS,0,NONE,UNCHANGED,,PASS,REQ-MAC-FORGERY-REJECTION,MESSAGE:PDU-C|STATE:SYNC|PERTURBATION:REPLACE_TRUNCATED_MAC_WITH_ZERO|REQUIREMENT:REQ-MAC-FORGERY-REJECTION,deterministic_direct_python_execution
V0066,EC-014,已接收报文重放,PDU-C,20281212,c1d55f69700cfe26,SYNC,101,REPLAY,REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU,prepare_sync(fv_last=100); accept witness once; replay same PDU,6d0980b2bf55e8380ba8bf010204ce62,6d0980b2bf55e8380ba8bf010204ce6200656e824f1c2136bf66,PASS,FAIL,0,NONE,UNCHANGED,,PASS,REQ-FRESHNESS-REPLAY-REJECTION,MESSAGE:PDU-C|STATE:SYNC|PERTURBATION:REPLAY_PREVIOUSLY_ACCEPTED_SECURED_PDU|REQUIREMENT:REQ-FRESHNESS-REPLAY-REJECTION,deterministic_direct_python_execution
V0071,EC-015,严格策略下FV回绕候选,PDU-C,20281312,c1d55f69700cfe26,ROLLOVER_PENDING,4294967293,BOUNDARY_OUT,AUTHENTICATED_POST_ROLLOVER_LOW_FV_5,prepare_rollover_pending(fv_last=2^b-3),e04916250fc8f7599eefc2d5308e7e1e,e04916250fc8f7599eefc2d5308e7e1e000546e5aae2d59fc6db,PASS,PASS,0,AUTHENTICATED,UPDATED_AUTH,,PASS,REQ-ROLLOVER-GATING,MESSAGE:PDU-C|STATE:ROLLOVER_PENDING|PERTURBATION:AUTHENTICATED_POST_ROLLOVER_LOW_FV_5|REQUIREMENT:REQ-ROLLOVER-GATING,deterministic_direct_python_execution
V0076,EC-016,合法基准通信,PDU-D,20290912,05919015c131d651,SYNC,100,VALID,NONE,prepare_sync(fv_last=100),c32a6f98f705974cb635be5f,c32a6f98f705974cb635be5f00658903ea29a2b046e1,PASS,PASS,1,NONE,UPDATED_AUTH,,PASS,REQ-VALID-DELIVERY,MESSAGE:PDU-D|STATE:SYNC|PERTURBATION:NONE|REQUIREMENT:REQ-VALID-DELIVERY,deterministic_direct_python_execution
