RunId,VectorId,Scenario,MessageAlias,Repeat,ConfigHash,InputSeed,PayloadSha256,WirePduSha256,StateBefore,VectorType,z_auth,z_fresh,d_app,a_resync,nu_state,Error,EvidenceCompleteness,Verdict,HostElapsedNs,ReceiverTauNs,DataOrigin
PYOBS-20260921T013915Z,1,合法基准通信,PDU-A,1,47c95dd4fc3ad73a,20260912,cdbcc03050cf9b81c6973a0d22c8523cc5ef1d5e2afe6072827a97819eff18f2,554ac55fbee992876bc7fb069463b0dc1fee26b32c042d991c5f01c21661606b,SYNC,VALID,PASS,PASS,1,NONE,UPDATED_AUTH,,COMPLETE,PASS,214002,206230,direct_python_execution
PYOBS-20260921T013915Z,2,合法基准通信,PDU-A,2,47c95dd4fc3ad73a,20260913,4b848352476fbe19fd43d2739f7c8d421c1b355609e485a23cc67334dd3afafe,84c41be28034ef3716673326a879499359bf4bc5a95c78de836ed33a57169441,SYNC,VALID,PASS,PASS,1,NONE,UPDATED_AUTH,,COMPLETE,PASS,186212,180885,direct_python_execution
PYOBS-20260921T013915Z,3,合法基准通信,PDU-A,3,47c95dd4fc3ad73a,20260914,18786d26c11e02d1d846a0cb416ae5b38e59825159f822a50ff337bd7a041661,32662a119ad567a8d2dfd6eecc9c2fc5bf7986017b6c6bb516b820b982828369,SYNC,VALID,PASS,PASS,1,NONE,UPDATED_AUTH,,COMPLETE,PASS,175477,172513,direct_python_execution
PYOBS-20260921T013915Z,4,合法基准通信,PDU-A,4,47c95dd4fc3ad73a,20260915,2ce4ea9bda335f621aaece5804ef7ed457667aa465ba718cbbe5127530d2ac9c,57669366d4b2b8ce7b93255ffb98a8ff6712a420093e8d9f9ee9114d22f325d3,SYNC,VALID,PASS,PASS,1,NONE,UPDATED_AUTH,,COMPLETE,PASS,180881,178408,direct_python_execution
PYOBS-20260921T013915Z,5,合法基准通信,PDU-A,5,47c95dd4fc3ad73a,20260916,383e924945e8e48a08218a98ffa5a615030bd893b0b108358ab0ad2d16813a7f,58148ef7191cb74131d3847b22850bec069368b9f425c5a4f21a9aac606a7327,SYNC,VALID,PASS,PASS,1,NONE,UPDATED_AUTH,,COMPLETE,PASS,212551,209724,direct_python_execution
PYOBS-20260921T013915Z,6,受认证区域内载荷篡改,PDU-A,1,47c95dd4fc3ad73a,20261012,dbfeae98d9376cb4e2aba0df2a1b4c632563b95f780f2016a84247f8b94e9d50,29e590851f8269052c93464f551ad6daccf386caa9e705ded1faf3c423a6f5f6,SYNC,TAMPER,FAIL,PASS,0,NONE,UNCHANGED,,COMPLETE,PASS,166595,164382,direct_python_execution
PYOBS-20260921T013915Z,7,受认证区域内载荷篡改,PDU-A,2,47c95dd4fc3ad73a,20261013,473abbf62fa4c720963c1b2703ce1d1cd7f2faa3560ff91823a41273fcb2596c,8473b3621101ad30843e930dc4072b997922b11f3d1492e3621dc1aaab14f893,SYNC,TAMPER,FAIL,PASS,0,NONE,UNCHANGED,,COMPLETE,PASS,162741,160550,direct_python_execution
PYOBS-20260921T013915Z,8,受认证区域内载荷篡改,PDU-A,3,47c95dd4fc3ad73a,20261014,5baac03d4ce740f4d3775785be34b4ce9ba09edfcc5276a6230630cb99079ff7,1c6dc7316d84ac14c36d685f297301566301ab3f517117afcf7b00d5b425183c,SYNC,TAMPER,FAIL,PASS,0,NONE,UNCHANGED,,COMPLETE,PASS,160792,158792,direct_python_execution
PYOBS-20260921T013915Z,9,受认证区域内载荷篡改,PDU-A,4,47c95dd4fc3ad73a,20261015,5d0ceefca5c4967bbd093cf588e4b373be33fe0d80f7f62df2bb34ff4b0a128f,1c8ee06620ec1a3e01bb788b1d1bd4db1599d45331b409f09d3e5c4fdd12c87a,SYNC,TAMPER,FAIL,PASS,0,NONE,UNCHANGED,,COMPLETE,PASS,155134,153030,direct_python_execution
PYOBS-20260921T013915Z,10,受认证区域内载荷篡改,PDU-A,5,47c95dd4fc3ad73a,20261016,f2336899f2c208c047981917baed7201dd78cfc56cecf41c601f0a0a68bb3ee8,f3f4a9dd978959cd4fa08f8f604fc2e26d9c56273be4a6bee9f533fc264f9465,SYNC,TAMPER,FAIL,PASS,0,NONE,UNCHANGED,,COMPLETE,PASS,184621,182259,direct_python_execution
